Name													CRC32		Size
Full Throttle Racing [ftr].rsn										CB81EBEE	61240
From TV Animation Slam Dunk [ftsd].rsn									FBD5F83D	67288
From TV Animation Slam Dunk 2 [ftsd2].rsn								494E1409	66244
From TV Animation Slam Dunk - SD Heat Up! [ftsdh].rsn							2626D551	68632
Flintstones - Treasure of Sierra Madrock [ftsm].rsn							43BF677C	71224
BS Furoito no Chousenjou [furo].rsn									C83A9DC4	47526
F-Zero [fz].rsn												9278B20E	67656
Inspector Gadget [gadg].rsn										5FCEBB04	70403
Game Genie [gage].rsn											B8748CE3	5885
Gamars Copier [gam].rsn											DCFBC784	41157
Gamble Hourouki [gambh].rsn										0D3E1D17	67681
Great Battle 3 [gb3].rsn										6F1ADF1A	100402
Great Battle IV, The [gb4].rsn										CDCC12C8	120477
Great Battle 5 [gb5].rsn										7105DE20	101788
Great Battle Gaiden 2 [gbg2].rsn									8E03B9B3	145993
Kuusou Kagaku Sekai Gulliver Boy [gboy].rsn								AACB71F6	139731
Gokinjo Bouken Tai [gbt].rsn										22EF9865	192941
Ghost Chaser Densei [gcd].rsn										1D037842	120155
Gradius 3 [gd3].rsn											00649FE0	86234
GD Leen [gdl].rsn											26C8FB20	61603
Ganbare Daiku no Gensan [gdng].rsn									E377F693	81777
Ginga Eiyuu Densetsu [ged].rsn										0EC86BB6	84933
BS Gekkan Coin Toss Deck [gek].rsn									A8BA894C	48040
Genocide 2 [gen2].rsn											A6766DD5	60642
Genjuu Ryodan [genjr].rsn										BA36E1F6	281960
George Foreman's KO Boxing [gfko].rsn									CC99B545	286643
Ganbare Goemon (Legend of the Mystical Ninja) [gg].rsn							539C6221	132064
Ganbare Goemon 2 - Kiteretsu Shogun Magginesu! [gg2].rsn						E539F934	252872
Ganbare Goemon 3 - Shishi Juroku Hyoe no Karakuri Manji Katame! [gg3].rsn				0360FC55	270188
Ganbare Goemon 4 - Kirakira Douchuu [gg4].rsn								4B7F1BF5	379491
Go Go Ackman [gga].rsn											3CD2424C	154895
Go Go Ackman 2 [gga2].rsn										5A228241	69742
Go Go Ackman 3 [gga3].rsn										6F6FFF78	109776
Go! Go! Dodge League [ggdl].rsn										AB60007E	47460
Gan Gan Ganchan [ggg].rsn										3B2F35D4	57498
Gamera - Gyaosu Gekimetsu Sakusen [gggs].rsn								CD575AC3	59044
Front Mission - Gun Hazard [gh].rsn									30F40953	306041
Granhistoria [ghis].rsn											D14C81BA	69509
Ghoul Patrol [ghoul].rsn										03F0894A	79793
Gionbana [gion].rsn											14F9E280	71211
Gambler Jiko Chuushinha 2 - Dorapon Quest [gjc2].rsn							B2478E77	140146
Super Aoki Ookami to Shiroki Mejika - Genchou Hishi (Genghis Khan 2 - Clan of the Grey Wolf) [gk2].rsn	D0FE6BBB	66873
Godzilla - Kaijuu Daikessen [gkd].rsn									32A4E045	220657
Gakko de atta Kowai Hanashi [gkh].rsn									29D387A6	193855
